season,holiday,weekday,workingday,weather,temp,hum,windspeed,total_rental_bikes 
3,0,1,1,1,0.666,0.712,0.209,4338
3,0,3,1,1,0.673,0.697,0.167,4785
2,0,4,1,1,0.680,0.493,0.195,7338
1,0,5,1,2,0.197,0.499,0.169,1510
4,0,3,1,1,0.297,0.506,0.211,5260
2,0,4,1,3,0.268,0.918,0.218,1685
2,0,6,0,1,0.473,0.503,0.235,5312
4,0,6,0,1,0.522,0.701,0.045,5409
3,1,3,0,1,0.789,0.539,0.135,7403
3,0,3,1,2,0.595,0.900,0.096,4352
1,0,6,0,2,0.414,0.621,0.161,4066
1,1,1,0,1,0.190,0.523,0.231,2298
1,0,3,1,1,0.396,0.568,0.234,4773
3,0,4,1,1,0.777,0.597,0.285,6861
4,0,6,0,2,0.298,0.807,0.060,5191
2,0,6,0,3,0.431,0.888,0.341,795
4,0,2,1,1,0.401,0.684,0.136,4068
4,0,1,1,2,0.393,0.907,0.098,4585
3,0,6,0,1,0.804,0.466,0.169,4475
4,0,2,1,2,0.318,0.825,0.213,1096
3,0,0,0,1,0.748,0.578,0.183,4881
2,0,1,1,2,0.573,0.790,0.213,2843
4,0,1,1,1,0.453,0.768,0.083,6234
3,0,3,1,1,0.737,0.741,0.188,7112
2,0,2,1,1,0.604,0.507,0.269,4891
4,0,0,0,1,0.343,0.693,0.228,4669
2,0,2,1,1,0.708,0.598,0.188,4833
2,0,3,1,1,0.542,0.470,0.181,6436
3,0,0,0,2,0.717,0.683,0.229,4649
4,0,6,0,1,0.275,0.508,0.233,3190
4,0,4,1,2,0.658,0.723,0.118,7328
1,0,1,1,1,0.415,0.376,0.418,1913
4,0,5,1,1,0.298,0.650,0.058,5668
4,0,4,1,1,0.476,0.636,0.422,4195
1,0,0,0,1,0.138,0.434,0.362,822
2,0,2,1,1,0.775,0.637,0.111,3982
2,0,6,0,2,0.424,0.738,0.251,6235
4,0,1,1,2,0.436,0.925,0.190,5170
3,0,4,1,2,0.628,0.902,0.128,4795
1,0,0,0,1,0.275,0.681,0.155,754
1,0,0,0,1,0.384,0.527,0.271,2417
2,1,1,0,1,0.733,0.685,0.131,4098
4,0,3,1,2,0.441,0.758,0.336,2566
3,0,5,1,1,0.782,0.595,0.153,6904
1,0,6,0,1,0.473,0.379,0.368,3117
4,0,4,1,1,0.296,0.486,0.174,5532
3,0,4,1,1,0.707,0.590,0.077,7713
4,0,0,0,2,0.363,0.839,0.101,3786
4,0,4,1,2,0.650,0.691,0.134,7393
1,0,3,1,2,0.296,0.775,0.220,1891
1,0,5,1,2,0.364,0.712,0.347,1461
2,0,2,1,1,0.442,0.625,0.226,2703
4,0,1,1,1,0.503,0.743,0.142,3867
4,0,3,1,1,0.635,0.631,0.244,7733
1,0,1,1,2,0.216,0.578,0.155,2729
1,0,1,1,1,0.367,0.491,0.268,4322
2,0,3,1,1,0.656,0.582,0.343,7421
3,0,3,1,1,0.767,0.424,0.200,4780
3,0,4,1,2,0.697,0.810,0.142,6203
3,0,3,1,1,0.553,0.537,0.215,7591
3,0,6,0,2,0.662,0.713,0.244,6053
4,0,4,1,2,0.423,0.634,0.268,3709
2,0,0,0,1,0.603,0.493,0.184,7641
3,0,3,1,1,0.717,0.633,0.152,7264
3,0,2,1,1,0.781,0.492,0.126,6660
1,0,5,1,1,0.312,0.637,0.134,2999
1,0,6,0,2,0.233,0.929,0.161,1005
3,0,3,1,1,0.707,0.620,0.170,7347
4,0,2,1,2,0.374,0.685,0.083,5634
1,0,1,1,2,0.231,0.791,0.077,920
4,0,5,1,1,0.511,0.684,0.022,4985
3,0,6,0,2,0.717,0.755,0.228,4294
3,0,6,0,2,0.703,0.699,0.144,6969
1,0,2,1,1,0.354,0.496,0.147,4375
4,0,2,1,1,0.476,0.734,0.174,6606
3,0,3,1,1,0.673,0.605,0.253,5130
3,0,6,0,1,0.732,0.535,0.180,7458
4,0,5,1,1,0.438,0.539,0.235,7282
3,0,5,1,1,0.723,0.571,0.231,7148
2,0,0,0,2,0.253,0.494,0.184,1693
2,0,2,1,1,0.533,0.489,0.116,4803
2,0,0,0,1,0.593,0.599,0.145,6978
4,0,1,1,1,0.463,0.772,0.119,4187
1,0,5,1,2,0.436,0.842,0.113,4378
4,0,0,0,1,0.246,0.468,0.151,2424
1,0,5,1,1,0.334,0.542,0.168,4098
4,0,2,1,2,0.343,0.663,0.342,4094
2,0,0,0,1,0.613,0.576,0.225,6118
4,0,1,1,2,0.649,0.848,0.111,4630
1,0,2,1,2,0.192,0.830,0.053,1360
2,0,6,0,1,0.697,0.670,0.119,5119
3,0,5,1,1,0.723,0.396,0.103,5362
4,0,6,0,1,0.423,0.629,0.093,4308
4,1,1,0,1,0.571,0.734,0.042,5117
4,0,3,1,3,0.542,0.895,0.243,2424
2,0,4,1,1,0.438,0.603,0.162,3141
1,0,3,1,1,0.222,0.423,0.094,1917
4,0,2,1,1,0.550,0.570,0.236,7538
4,0,2,1,1,0.283,0.590,0.141,3523
1,0,2,1,2,0.325,0.763,0.188,1162
2,0,1,1,2,0.538,0.664,0.231,6273
4,0,3,1,1,0.333,0.625,0.184,5267
3,0,3,1,1,0.723,0.575,0.144,4694
3,0,6,0,1,0.695,0.483,0.210,5202
